Name,HP,NaturalArmour,Strength,Dexterity,Speed,AttackBonus,BaseMeleeDamage,BaseMeleeDescription,SightRange,Difficulty,Special
Grid Bug,5,1,10,10,1,0,2,zaps,8,1,
Morlock,6,0,8,12,2,0,4,hits,4,1,
Sea Devil,15,2,14,8,2,1,6,hits,9,1,
Zygon,15,1,12,12,2,1,4,stings,9,1,
Fireman,20,1,12,12,2,1,4,punches,9,1,
Silurian,30,2,12,18,3,2,6,bites,10,2,
Recognizer,35,4,16,12,2,4,12,stomps,14,2,
Mechanical Hound,30,4,16,16,3,2,10,hits,12,2,
Ice Warrior,45,5,18,12,2,5,12,punches,8,2,
Cyberman,30,6,18,8,2,6,14,attempts to delete,10,2,
Gort,30,5,16,12,2,4,10,smashes,14,2,
Thing,20,2,18,18,4,6,10,bites,8,2,
Rhedosaurus,70,7,22,14,1,8,20,bites,8,3,
Giant Radioactive Ant,50,6,20,14,3,7,24,pinches,10,3,
Kronos,60,10,18,16,5,6,25,slams into,10,3,
Tank,80,12,24,14,4,8,30,rolls over,16,3,
